pl_name,soltype,disc_refname,hd_name,pl_masse,pl_orbper,discoverymethod,cb_flag,sy_dist,pl_insol
Kepler-48 e,Published Confirmed,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,657.00000,982.00000000,Radial Velocity,false,306.7380000,
TOI-615 b,Published Confirmed,<a refstr=PSARIDI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A..39P/abstract target=ref>Psaridi et al. 2023</a>,,138.25536,4.66159830,Transit,false,360.4080000,1286.00
TOI-4184 b,Published Confirmed,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230615095B/abstract target=ref>Barkaoui et al. 2023</a>,,,4.90198040,Transit,false,69.3649000,4.80
Kepler-769 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,7.42606360,Transit,false,1169.5700000,241.13
Kepler-951 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,71.525344646666666666666666667,Transit,false,382.5090000,2.47
Kepler-267 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,37.90000,3.35379194,Transit,false,264.9930000,41.8775
Kepler-1127 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,5.123480495,Transit,false,842.4590000,160.76
Kepler-1137 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,23.921150643333333333333333333,Transit,false,921.7780000,197.85
Kepler-768 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,11.391024625,Transit,false,784.5600000,40.59
Kepler-279 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,12.309635895,Transit,false,1037.4000000,249.02
Kepler-374 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,3.2828109266666666666666666667,Transit,false,1265.6100000,966.59
Kepler-846 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,19.807875043333333333333333333,Transit,false,1127.1200000,35.28
Kepler-302 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,30.183523405,Transit,false,1402.5800000,31.25
HD 20003 b,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 20003,,11.84820000,Radial Velocity,false,41.8316000,
HD 20003 c,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 20003,,33.92390000,Radial Velocity,false,41.8316000,
HD 20781 c,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 20781,,13.89050000,Radial Velocity,false,35.9715000,
HD 21693 b,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 21693,,22.67860000,Radial Velocity,false,33.2550000,
HD 21693 c,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 21693,,53.73570000,Radial Velocity,false,33.2550000,
HD 20781 d,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 20781,,29.15800000,Radial Velocity,false,35.9715000,
HD 31527 b,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 31527,,16.55350000,Radial Velocity,false,38.4473000,
HD 51608 b,Published Confirmed,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,HD 51608,,14.07260000,Radial Velocity,false,35.0553000,
KMT-2017-BLG-1146L b,Published Confirmed,<a refstr=SHIN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..146S/abstract target=ref>Shin et al. 2019</a>,,250.00000,,Microlensing,false,6600.0000000,
HD 65216 b,Published Confirmed,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,HD 65216,,594.04999500,Radial Velocity,false,35.1205000,
HD 85390 b,Published Confirmed,<a refstr=MORDASINI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...526A.111M/abstract target=ref> Mordasini et al. 2011 </a>,HD 85390,,791.84000000,Radial Velocity,false,33.5225000,
CoRoT-14 b,Published Confirmed,<a refstr=TINGLEY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...528A..97T/abstract target=ref> Tingley et al. 2011 </a>,,2403.8182333333333333333333333,1.51214000,Transit,false,1744.6000000,
KMT-2016-BLG-2605L b,Published Confirmed,<a refstr=RYU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...96R/abstract target=ref>Ryu et al. 2021</a>,,245.04570,,Microlensing,false,6421.0000000,
Kepler-300 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,10.44637583,Transit,false,1098.4500000,265.19
Kepler-380 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,3.9308300733333333333333333333,Transit,false,813.7130000,808.09
Kepler-1566 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,0.53991546,Transit,false,466.5860000,2340.98
Kepler-1570 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,26.548644033333333333333333333,Transit,false,918.9950000,76.46
Kepler-215 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,14.667137682,Transit,false,485.9970000,57.69
Kepler-106 d,Published Confirmed,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,8.10000,23.979889853333333333333333333,Transit,false,444.3220000,45.36
Kepler-1211 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,11.018093793333333333333333333,Transit,false,1826.5300000,139.85
Kepler-1215 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,4.76704207,Transit,false,661.0220000,253.96
Kepler-947 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,26.964488263333333333333333333,Transit,false,1730.7800000,51.95
Kepler-1237 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,84.57345107333333333333333333,Transit,false,1064.3100000,4.04
Kepler-1239 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,5.19107038,Transit,false,2140.6000000,
Kepler-1245 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,4.354096015,Transit,false,805.9360000,194.34
Kepler-1373 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,1.29123588,Transit,false,1699.4600000,10436.60
Kepler-1376 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,5.30879652,Transit,false,868.0560000,278.90
Kepler-400 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,17.34080960,Transit,false,845.9700000,
Kepler-1250 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,2.60753570,Transit,false,2126.8500000,1866.19
Kepler-246 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,11.18717244,Transit,false,626.0780000,43.21
Kepler-345 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,0.50000,7.415678765,Transit,false,,
Kepler-1420 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,6.699568435,Transit,false,1054.3700000,131.53
Kepler-1050 c,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,21.12805564,Transit,false,490.4880000,40.64
Kepler-1433 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,4.13593284,Transit,false,,4505.30
Kepler-1490 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,92.43655005666666666666666667,Transit,false,862.9200000,3.79
Kepler-1494 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,91.08031812,Transit,false,1285.4800000,9.11
Kepler-1284 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,0.664073315,Transit,false,882.3240000,2190.08
Kepler-364 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,25.745977105,Transit,false,891.4620000,68.71
Kepler-406 c,Published Confirmed,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,,2.71000,4.6233452233333333333333333333,Transit,false,364.0300000,349.77
Kepler-1287 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,11.476861965,Transit,false,1003.2600000,78.16
Kepler-1288 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,2.76112473,Transit,false,814.0780000,
Kepler-1289 b,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,7.99027139,Transit,false,1053.5700000,223.44
Kepler-189 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,10.3998972425,Transit,false,591.5340000,45.39
Kepler-190 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,3.763035065,Transit,false,433.3870000,181.70
Kepler-174 d,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,247.353646104,Transit,false,384.7570000,0.53
Kepler-301 c,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,5.41907150,Transit,false,719.1660000,238.48
Kepler-84 e,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,27.4345836475,Transit,false,1023.9000000,
Kepler-653 c,Published Confirmed,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,,0.90037675,Transit,false,595.6340000,3743.28
2MASS J04414489+2301513 b,Published Confirmed,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,2383.60000,,Imaging,false,,
HD 233832 b,Published Confirmed,<a refstr=BARBATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...621A.110B/abstract target=ref>Barbato et al. 2019</a>,HD 233832,,3052.50000000,Radial Velocity,false,58.7420000,
PSR B0329+54 b,Published Confirmed,<a refstr=STAROVOIT__AMP__RODIN_2017 href=https://ui.adsabs.harvard.edu/abs/2017ARep...61..948S/abstract target=ref>Starovoit &amp; Rodin 2017</a>,,,10140.00000000,Pulsar Timing,false,,
DMPP-2 b,Published Confirmed,<a refstr=HASWELL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..408H/abstract target=ref>Haswell et al. 2020</a>,HD 11231,,5.20720000,Radial Velocity,false,137.9400000,
DMPP-1 b,Published Confirmed,<a refstr=STAAB_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..399S/abstract target=ref>Staab et al. 2020</a>,HD 38677,,18.57000000,Radial Velocity,false,62.5388000,
DMPP-3 A b,Published Confirmed,<a refstr=BARNES_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs...4..419B/abstract target=ref>Barnes et al. 2020</a>,HD 42936,,6.67340000,Radial Velocity,false,45.2300000,
GJ 180 b,Published Confirmed,<a refstr=TUOMI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.441.1545T/abstract target=ref>Tuomi et al. 2014</a>,,,17.25650000,Radial Velocity,false,11.9407000,
GJ 180 d,Published Confirmed,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,106.30000000,Radial Velocity,false,11.9407000,
GJ 3082 b,Published Confirmed,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>,,,11.94900000,Radial Velocity,false,16.6186000,
Kepler-1661 b,Published Confirmed,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,,17.00000,175.06000000,Transit,true,410.6070000,0.88
GJ 1061 b,Published Confirmed,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..536D/abstract target=ref>Dreizler et al. 2020</a>,,,3.20400000,Radial Velocity,false,3.6727800,3.80
HATS-49 b,Published Confirmed,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,,112.19399,4.14804670,Transit,false,324.4130000,80.45
OGLE-2016-BLG-1227L b,Published Confirmed,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...91H/abstract target=ref>Han et al. 2020</a>,,915.00000,,Microlensing,false,,
CoRoT-31 b,Published Confirmed,<a refstr=BORD_EACUTE__ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A.122B/abstract target=ref>Bord&eacute; et al. 2020</a>,,266.97720,4.62941000,Transit,false,2005.7600000,
Kepler-1649 c,Published Confirmed,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,,,19.53527000,Transit,false,92.1913000,0.75
KOI-1783.01,Published Confirmed,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,71.00000,134.47065438,Transit,false,865.7300000,5.70
OGLE-2018-BLG-1700L b,Published Confirmed,<a refstr=HAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...48H/abstract target=ref>Han et al. 2020</a>,,1400.00000,,Microlensing,true,7600.0000000,
KMT-2018-BLG-1292L b,Published Confirmed,<a refstr=RYU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...58R/abstract target=ref>Ryu et al. 2020</a>,,1485.00000,,Microlensing,false,,
OGLE-2012-BLG-0838L b,Published Confirmed,<a refstr=POLESKI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..261P/abstract target=ref>Poleski et al. 2020</a>,,53.10000,,Microlensing,false,6320.0000000,
Kepler-160 b,Published Confirmed,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,,4.30936275,Transit,false,937.0130000,396.62
PDS 70 c,Published Confirmed,<a refstr=HAFFERT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019NatAs...3..749H/abstract target=ref>Haffert et al. 2019</a>,,635.66000,,Imaging,false,113.0640000,
K2-274 b,Published Confirmed,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,,14.13137270,Transit,false,228.3270000,
HD 33142 b,Published Confirmed,<a refstr=JOHNSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197...26J/abstract target=ref> Johnson et al. 2011 </a>,HD 33142,,327.30000250,Radial Velocity,false,121.3750000,
OGLE-2005-BLG-071L b,Published Confirmed,<a refstr=UDALSKI_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...628L.109U/abstract target=ref> Udalski et al. 2005 </a>,,978.55227,,Microlensing,false,3200.0000000,
OGLE-2016-BLG-1190L b,Published Confirmed,<a refstr=RYU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...40R/abstract target=ref>Ryu et al. 2018</a>,,4253.00000,1165.00000000,Microlensing,false,6770.0000000,
HD 33142 c,Published Confirmed,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,HD 33142,,822.10000000,Radial Velocity,false,121.3750000,
HD 19615 b,Published Confirmed,<a refstr=JEONG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...662A..12J/abstract target=ref>Jeong et al. 2022</a>,HD 19615,,402.00000000,Radial Velocity,false,265.1550000,
